data_frac,trial_i,performance,passed_safety,gvec
0.0031622776601683,0,3.593267388058328,True,[-0.04893315]
0.0031622776601683,1,2.218432052627646,True,[-0.04394571]
0.0031622776601683,2,,False,[-inf]
0.0031622776601683,3,4.466232482898049,True,[-0.04998881]
0.0031622776601683,4,,False,[-inf]
0.0031622776601683,5,,False,[-inf]
0.0031622776601683,6,1.9794080996941648,True,[-0.04278705]
0.0031622776601683,7,2.735583868252643,True,[-0.02800583]
0.0031622776601683,8,4.098754760908696,True,[-0.0470316]
0.0031622776601683,9,,False,[-inf]
0.0059948425031894,0,2.411040844204655,True,[-0.02770465]
0.0059948425031894,1,1.6484199007887217,True,[-0.02192802]
0.0059948425031894,2,2.905558418308657,True,[-0.03979274]
0.0059948425031894,3,4.802051621623581,True,[-0.04999695]
0.0059948425031894,4,2.1972336792129457,True,[-0.01423009]
0.0059948425031894,5,2.772001030591896,True,[-0.04345255]
0.0059948425031894,6,,False,[-inf]
0.0059948425031894,7,,False,[-inf]
0.0059948425031894,8,,False,[-inf]
0.0059948425031894,9,3.6295035176235895,True,[-0.04351286]
0.0113646366638572,0,,False,[-inf]
0.0113646366638572,1,,False,[-inf]
0.0113646366638572,2,2.8851112463485773,True,[-0.044755]
0.0113646366638572,3,4.197126320670662,True,[-0.04905334]
0.0113646366638572,4,3.2247645838667838,True,[-0.01852126]
0.0113646366638572,5,2.4398466439315194,True,[-0.0325612]
0.0113646366638572,6,,False,[-inf]
0.0113646366638572,7,3.066103089489528,True,[-0.04189272]
0.0113646366638572,8,2.847534244238548,True,[-0.02469413]
0.0113646366638572,9,2.6591180466732376,True,[-0.01406837]
0.0215443469003188,0,3.5760625330232525,True,[-0.03483828]
0.0215443469003188,1,2.4338420550781303,True,[-0.01157012]
0.0215443469003188,2,2.572257022830064,True,[-0.047147]
0.0215443469003188,3,3.5786890487475578,True,[-0.04955484]
0.0215443469003188,4,3.496443528237938,True,[-0.04026386]
0.0215443469003188,5,2.668697069114532,True,[-0.0272941]
0.0215443469003188,6,,False,[-inf]
0.0215443469003188,7,3.213666503142678,True,[-0.04367301]
0.0215443469003188,8,3.384665933163964,True,[-0.04611298]
0.0215443469003188,9,3.0115203593238147,True,[-0.0438316]
0.0408423865267452,0,3.121491678154974,True,[-0.04295003]
0.0408423865267452,1,2.329704008773252,True,[-0.02679241]
0.0408423865267452,2,2.660111640246693,True,[-0.04904815]
0.0408423865267452,3,2.73554153302003,True,[-0.04764564]
0.0408423865267452,4,3.425500714145577,True,[-0.04431341]
0.0408423865267452,5,,False,[-inf]
0.0408423865267452,6,2.207508202534045,True,[-0.03220984]
0.0408423865267452,7,2.6405395158299823,True,[-0.04356735]
0.0408423865267452,8,2.450375347485399,True,[-0.04667714]
0.0408423865267452,9,3.4297320018879818,True,[-0.04917102]
0.0774263682681127,0,2.063019346875494,True,[-0.04793554]
0.0774263682681127,1,2.351661501785872,True,[-0.04542436]
0.0774263682681127,2,2.51149422925941,True,[-0.04900171]
0.0774263682681127,3,1.7981822496284894,True,[-0.04736176]
0.0774263682681127,4,2.650562821333556,True,[-0.04975692]
0.0774263682681127,5,2.4817855806271307,True,[-0.04774084]
0.0774263682681127,6,2.3080505760733754,True,[-0.045428]
0.0774263682681127,7,2.569257622662324,True,[-0.04865856]
0.0774263682681127,8,2.291925006840987,True,[-0.04921759]
0.0774263682681127,9,2.6574584529929366,True,[-0.0475784]
0.1467799267622069,0,1.661058741693703,True,[-0.044888]
0.1467799267622069,1,1.9580704722622315,True,[-0.04181234]
0.1467799267622069,2,1.8835953744576848,True,[-0.04739972]
0.1467799267622069,3,1.3239110421230262,True,[-0.04909542]
0.1467799267622069,4,1.7796613374824632,True,[-0.04811444]
0.1467799267622069,5,2.163580034700446,True,[-0.04885777]
0.1467799267622069,6,1.917517674991436,True,[-0.04811896]
0.1467799267622069,7,1.9167886529493483,True,[-0.04532663]
0.1467799267622069,8,1.560638129749913,True,[-0.0458279]
0.1467799267622069,9,1.193560993152314,True,[-0.04091498]
0.2782559402207126,0,1.3276857150495114,True,[-0.04752762]
0.2782559402207126,1,1.737538100522576,True,[-0.04775799]
0.2782559402207126,2,1.1763385941571711,True,[-0.04911792]
0.2782559402207126,3,1.276208358467648,True,[-0.04829526]
0.2782559402207126,4,1.0702842695660209,True,[-0.04329722]
0.2782559402207126,5,1.678989119877675,True,[-0.0475831]
0.2782559402207126,6,1.1796265918158126,True,[-0.03897058]
0.2782559402207126,7,1.3665322112174032,True,[-0.04711226]
0.2782559402207126,8,1.1038253787462486,True,[-0.03955747]
0.2782559402207126,9,0.9995916094030832,True,[-0.04470587]
0.527499706370262,0,0.934296220646806,True,[-0.03719207]
0.527499706370262,1,0.8511286702004228,True,[-0.03081757]
0.527499706370262,2,0.7749479114431705,True,[-0.03173696]
0.527499706370262,3,0.9329175546370162,True,[-0.04017409]
0.527499706370262,4,0.8040467211680481,True,[-0.032431]
0.527499706370262,5,0.8535655655817475,True,[-0.03723814]
0.527499706370262,6,0.7098055517873875,True,[-0.02057645]
0.527499706370262,7,0.8500082617267145,True,[-0.0038901]
0.527499706370262,8,0.7546971961879169,True,[-0.03402573]
0.527499706370262,9,0.6959278400354862,True,[-0.02165961]
1.0,0,0.5747585006625141,True,[-0.03641746]
1.0,1,0.5440109673490969,True,[-0.02883636]
1.0,2,0.590668318973521,True,[-0.04013461]
1.0,3,0.5711716591016384,True,[-0.03006164]
1.0,4,0.5187168179351304,True,[-0.03688873]
1.0,5,0.5438820108655723,True,[-0.03712116]
1.0,6,0.5245273650427615,True,[-0.02222427]
1.0,7,0.5334668692716232,True,[-0.02206965]
1.0,8,0.5155207501016308,True,[-0.02345202]
1.0,9,1.7457684626951069,True,[-0.04958605]
